Group;X coordinate (mm);Y coordinate (mm)
1;-57.700;-60.537
1;-46.313;-60.283
1;-34.925;-60.071
1;-23.622;-59.944
1;-12.361;-59.944
1;-1.101;-60.029
1;10.075;-60.198
1;21.336;-60.494
1;32.470;-60.875
1;43.561;-61.383
1;54.483;-61.680
2;-58.632;-48.260
2;-46.990;-48.048
2;-35.348;-47.921
2;-23.791;-47.921
2;-12.277;-47.879
2;-0.889;-48.006
2;10.541;-48.175
2;21.971;-48.514
2;33.359;-48.895
2;44.746;-49.403
2;55.965;-49.996
3;-59.351;-35.941
3;-47.456;-35.814
3;-35.602;-35.772
3;-23.876;-35.772
3;-12.192;-35.856
3;-0.635;-35.983
3;10.964;-36.237
3;22.521;-36.491
3;34.121;-36.957
3;45.635;-37.338
3;57.150;-37.846
4;-59.732;-23.580
4;-47.667;-23.537
4;-35.729;-23.580
4;-23.876;-23.664
4;-12.107;-23.834
4;-0.466;-24.045
4;11.261;-24.215
4;23.029;-24.553
4;34.713;-24.892
4;46.440;-25.273
4;58.081;-25.696
5;-59.944;-11.218
5;-47.794;-11.303
5;-35.772;-11.515
5;-23.834;-11.642
5;-11.980;-11.853
5;-0.212;-12.023
5;11.557;-12.277
5;23.410;-12.573
5;35.179;-12.869
5;46.948;-13.166
5;58.759;-13.462
6;-60.029;1.270
6;-47.794;0.974
6;-35.729;0.720
6;-23.707;0.508
6;-11.853;0.254
6;0.000;0.000
6;11.811;-0.254
6;23.664;-0.466
6;35.560;-0.720
6;47.371;-0.931
6;59.224;-1.185
7;-59.775;13.801
7;-47.625;13.377
7;-35.560;12.996
7;-23.537;12.700
7;-11.684;12.404
7;0.169;12.107
7;12.023;11.896
7;23.876;11.726
7;35.772;11.515
7;47.625;11.388
7;59.478;11.218
8;-59.351;26.331
8;-47.244;25.823
8;-35.264;25.358
8;-23.326;24.934
8;-11.430;24.596
8;0.423;24.215
8;12.192;24.003
8;24.045;23.834
8;35.856;23.664
8;47.667;23.664
8;59.436;23.622
9;-58.632;38.820
9;-46.736;38.227
9;-34.798;37.677
9;-22.945;37.211
9;-11.134;36.745
9;0.593;36.407
9;12.319;36.110
9;24.045;35.983
9;35.814;35.941
9;47.498;35.941
9;59.140;35.983
10;-57.658;51.435
10;-45.932;50.758
10;-34.163;50.165
10;-22.479;49.615
10;-10.795;49.149
10;0.804;48.726
10;12.319;48.429
10;24.003;48.345
10;35.602;48.260
10;47.117;48.302
10;58.589;48.387
11;-55.965;63.458
11;-44.916;63.288
11;-33.401;62.653
11;-21.886;62.061
11;-10.414;61.553
11;1.016;61.129
11;12.404;60.791
11;23.834;60.621
11;35.179;60.579
11;46.482;60.706
11;57.531;60.791
